,TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
3323,Spring 2022,COSC,6398,109,20322,Special Problems,Gnawali,Omprakash D,0,0,0,0,0,1,0,0,0,0.0
3332,Spring 2022,COSC,8298,125,26902,Doctoral Research,Shi,Weidong,0,0,0,0,0,1,0,0,0,0.0
3336,Spring 2022,MATH,1342,1,17244,Elementary Statistical Methods,Weber,Thomas Christian,38,59,42,17,28,0,0,0,29,2.281
3340,Spring 2022,MATH,3363,2,16982,Introduction To Pde,Fitzgibbon,William E,3,2,4,0,2,0,0,0,6,2.274
3394,Spring 2022,COSC,8998,124,20244,Doctoral Research,Shah,Shishir,0,0,0,0,0,1,0,0,0,0.0
3444,Spring 2022,MATH,3338,2,20878,Probability,Leger,Nicholas M,9,12,4,5,8,0,0,0,1,2.237
3486,Spring 2022,MATH,8698,25,20571,Doctoral Research,Climenhaga,Vaughn,0,0,0,0,0,3,0,0,0,0.0
3506,Spring 2022,COSC,1437,5,18713,Introduction to Programming,Biediger,Daniel Edward,74,20,13,5,8,0,0,0,23,3.2
3517,Spring 2022,MATH,1100,2,25099,Developmental Math,Chang,James A,0,0,0,0,0,16,9,0,5,0.0
3524,Spring 2022,MATH,6373,1,19698,Deep Learning and Neural Nets,Azencott,Robert Guy,22,14,1,0,2,0,0,0,2,3.308
3545,Spring 2022,COSC,8399,124,20275,Doctoral Dissertation,Shah,Shishir,0,0,0,0,0,2,0,0,0,0.0
3553,Spring 2022,MATH,1342,2,20974,Elementary Statistical Methods,Weber,Thomas Christian,51,63,65,21,32,0,0,0,33,2.301
3564,Spring 2022,MATH,3333,1,19682,Intermediate Analysis,Winkle,James J,9,12,10,8,2,0,0,0,1,2.391
3567,Spring 2022,COSC,4397,1,25881,Sel Top-Computer Science,Rizk,Nouhad J,4,5,7,2,0,0,0,0,0,2.483
3582,Spring 2022,MATH,1332,5,18867,Elem Mathematical Modeling,Hafeez,Shahinda,22,22,36,13,27,0,0,0,22,1.942
3592,Spring 2022,MATH,6371,1,14880,Numerical Analysis,Kuznetsov,Yuri Alexeevich,8,4,0,0,0,0,0,0,0,3.529
3615,Spring 2022,COSC,8298,101,27935,Doctoral Research,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
3626,Spring 2022,COSC,8398,114,20172,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,1,0,0,0,0.0
3643,Spring 2022,MATH,2318,5,24454,Linear Algebra,Perepelitsa,Mikhail Antolyevic,8,19,19,20,17,0,0,0,15,1.715
3648,Spring 2022,MATH,2312,4,14849,Precalculus,Perepelitsa,Irina,21,14,13,6,10,0,0,0,15,2.386
3695,Spring 2022,COSC,8398,127,20185,Doctoral Research,Subhlok,Jaspal,0,0,0,0,0,2,0,0,0,0.0
3783,Spring 2022,MATH,4378,1,14863,Advanced Linear Algebra II,Mamonov,Alexander V,1,2,4,1,3,0,0,0,1,1.727
3790,Spring 2022,COSC,1336,2,17787,Computer Science & Program,Hilford,Victoria,24,29,17,2,7,0,0,0,20,2.73
3813,Spring 2022,COSC,6323,1,17804,Statistical Method in Research,Pavlidis,Ioannis T,28,19,0,0,0,0,0,0,0,3.596
3897,Spring 2022,MATH,2131,1,17713,Linear Alg Labs w/MATLAB,Vu,An Thuy,12,4,5,1,2,0,0,0,4,2.986
3939,Spring 2022,COSC,4331,1,20529,Real-Time Syst & Embedded Prog,Cheng,Albert M K,5,10,9,3,1,0,0,0,9,2.524
3943,Spring 2022,MATH,1100,1,20820,Developmental Math,Caputo,Matthew G,0,0,0,0,0,25,18,0,8,0.0
3973,Spring 2022,MATH,2318,4,24451,Linear Algebra,Jaramillo,Gabriela T,2,4,5,4,4,0,0,0,6,1.789
3992,Spring 2022,MATH,6315,5,26807,Masters Tutorial,Mang,Andreas,0,0,0,0,0,0,0,0,1,0.0
4000,Spring 2022,MATH,2414,11,18582,Calculus II,Xhabli,Blerina,80,49,36,22,52,0,0,0,53,2.3
4014,Spring 2022,COSC,6339,1,25883,Big Data Analytics,Ordonez,Carlos,22,44,4,0,0,0,0,0,1,3.219
4023,Spring 2022,COSC,6380,1,19265,Digital Image Processing,Mantini,Pranav,51,12,1,0,1,0,0,0,0,3.672
4061,Spring 2022,COSC,8998,122,20242,Doctoral Research,Pavlidis,Ioannis T,0,0,0,0,0,6,0,0,0,0.0
4087,Spring 2022,COSC,4298,2,27822,Independent Study,Alipour,Mohammad Amin,0,0,0,0,0,1,0,0,0,0.0
4096,Spring 2022,MATH,1314,3,17365,College Algebra,Caputo,Matthew G,12,15,26,11,24,0,0,0,23,1.675
4159,Spring 2022,MATH,2413,70,27370,Calculus I,Morgan,Jeffrey,0,0,0,0,0,0,0,0,0,0.0
4175,Spring 2022,COSC,3380,1,16757,Database Systems,Ramamurthy,Uma,22,44,11,0,0,0,0,0,12,2.993
4194,Spring 2022,MATH,1451,7,19103,Accelerated Calculus,Ott,William R,13,4,1,1,0,0,0,0,1,3.544
4197,Spring 2022,MATH,6374,1,24536,Num Part Diff Equations,Olshanskiy,Maxim Alexandrovich,6,11,2,0,0,0,0,0,0,3.245
4235,Spring 2022,COSC,8399,103,20254,Doctoral Dissertation,Cheng,Albert M K,1,0,0,0,0,0,0,0,0,4.0
4237,Spring 2022,COSC,8698,130,20219,Doctoral Research,Vilalta,Ricardo,0,0,0,0,0,1,0,0,0,0.0
4244,Spring 2022,MATH,2312,6,14850,Precalculus,Constante,Beatrice,55,40,28,12,21,0,0,0,39,2.603
4255,Spring 2022,MATH,2312,3,14848,Precalculus,Chang,James A,70,31,32,6,14,0,0,0,44,2.88
4269,Spring 2022,MATH,1314,8,14841,College Algebra,Hafeez,Shahinda,15,17,39,20,47,0,0,0,40,1.459
4349,Spring 2022,COSC,8698,131,20220,Doctoral Research,Wu,Panruo,0,0,0,0,0,1,0,0,0,0.0
4361,Spring 2022,MATH,8399,9,14921,Doctoral Dissertation,Josic,Kresimir,2,0,0,0,0,0,0,0,0,4.0
4386,Spring 2022,MATH,6313,1,15499,Introduction to Real Analysis,Vershynina,Anna,5,0,0,0,0,0,0,0,0,3.802
4387,Spring 2022,COSC,8998,106,20226,Doctoral Research,Deng,Zhigang,0,0,0,0,0,1,0,0,0,0.0
4417,Spring 2022,MATH,6397,1,24420,Selected Topics in Math,Arregoces,Luis A,22,0,0,0,0,0,0,0,0,4.0
4427,Spring 2022,MATH,6381,1,20129,Information Visualization,Shastri,Dvijesh J,14,15,3,1,1,0,0,0,0,3.07
4495,Spring 2022,COSC,2425,5,26424,Computer Org & Architecture,Long,Kevin B,33,10,2,0,1,0,0,0,5,3.609
4510,Spring 2022,COSC,4351,1,14371,Fundamentals of Software Engr,Hilford,Victoria,59,27,5,0,0,0,0,0,1,3.586
4518,Spring 2022,MATH,3331,3,19435,Differential Equations,Winkle,James J,14,13,17,6,3,0,0,0,9,2.504
4552,Spring 2022,MATH,8698,19,19038,Doctoral Research,Josic,Kresimir,0,0,0,0,0,2,0,0,0,0.0
4575,Spring 2022,MATH,8698,6,17316,Doctoral Research,Perepelitsa,Mikhail Antolyevic,0,0,0,0,0,1,0,0,0,0.0
4594,Spring 2022,MATH,1332,1,24734,Elem Mathematical Modeling,Namakforoosh,Navid,15,17,18,5,17,0,0,0,10,2.079
4636,Spring 2022,MATH,8698,17,18511,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,1,0,0,0,0.0
4673,Spring 2022,MATH,1351,5,20972,Introduction to Math Reasoning,Watkins,Katie Nicole,18,24,33,24,25,0,0,0,45,1.781
4675,Spring 2022,MATH,3363,1,16528,Introduction To Pde,Perepelitsa,Mikhail Antolyevic,6,9,13,7,1,0,0,0,16,2.242
4680,Spring 2022,COSC,3380,2,18684,Database Systems,Ramamurthy,Uma,13,37,22,1,4,0,0,0,12,2.637
4740,Spring 2022,COSC,8398,118,20176,Doctoral Research,Mukherjee,Arjun,0,0,0,0,0,1,0,0,0,0.0
4764,Spring 2022,COSC,1336,3,17788,Computer Science & Program,Hilford,Victoria,28,24,15,6,10,0,0,0,14,2.631
4766,Spring 2022,MATH,2318,1,15386,Linear Algebra,Mamonov,Alexander V,7,26,15,10,9,0,0,0,13,2.214
4775,Spring 2022,MATH,3379,1,14861,Introductn to Higher Geometry,Xhabli,Blerina,12,3,0,0,0,0,0,0,2,3.734
4828,Spring 2022,MATH,2414,31,18593,Calculus II,May,Jennifer Ruhnow,52,35,30,11,15,0,0,0,34,2.674
4831,Spring 2022,MATH,2413,41,18575,Calculus I,Douglas,Casey,29,23,47,17,39,0,0,0,38,1.871
4849,Spring 2022,MATH,2414,61,18607,Calculus II,West,James David,5,3,5,1,7,0,0,0,6,1.905
4881,Spring 2022,COSC,8398,115,20173,Doctoral Research,Laszka,Aron,0,0,0,0,0,1,0,0,0,0.0
4919,Spring 2022,COSC,3360,2,19264,Operating Systems,Rincon Castro,Carlos Alberto,33,37,23,12,16,0,0,0,26,2.452
4953,Spring 2022,MATH,1100,3,25100,Developmental Math,Chang,James A,0,0,0,0,0,7,5,0,2,0.0
5034,Spring 2022,COSC,7362,1,27575,Advanced Machine Learning,Vilalta,Ricardo,37,10,0,0,0,0,0,0,0,3.647
5065,Spring 2022,MATH,8398,22,18362,Doctoral Research,Olshanskiy,Maxim Alexandrovich,0,0,0,0,0,3,0,0,0,0.0
5084,Spring 2022,COSC,1336,4,19937,Computer Science & Program,Rincon Castro,Carlos Alberto,36,28,11,8,7,0,0,0,13,2.867
5130,Spring 2022,COSC,8398,119,20177,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,2,0,0,0,0.0
5149,Spring 2022,COSC,8399,113,20264,Doctoral Dissertation,Johnsson,Lennart,1,0,0,0,0,0,0,0,0,4.0
5200,Spring 2022,MATH,5330,1,15434,Abstract Algebra,Ru,Min,5,0,0,0,0,0,0,0,1,3.868
5249,Spring 2022,MATH,6367,1,14879,Optimization Theory,Hoppe,Ronald H W,12,2,0,0,0,0,0,0,1,3.81
5299,Spring 2022,COSC,6398,114,20327,Special Problems,Kakadiaris,Ioannis A.,0,0,0,0,0,0,0,0,0,0.0
5312,Spring 2022,COSC,8698,109,20198,Doctoral Research,Gnawali,Omprakash D,0,0,0,0,0,1,0,0,0,0.0
5321,Spring 2022,MATH,6397,3,24994,Selected Topics in Math,Ryan,John M,9,1,0,0,0,0,0,0,1,3.801
5365,Spring 2022,MATH,8398,15,16699,Doctoral Research,Kalantar,Mehrdad,0,0,0,0,0,3,0,0,0,0.0
5400,Spring 2022,MATH,2413,11,18572,Calculus I,Perepelitsa,Irina,27,24,26,19,23,0,0,0,25,2.043
5427,Spring 2022,MATH,4364,3,26286,Intro to Numerical Analysis,Morgan,Jeffrey,20,29,7,0,5,0,0,0,9,2.935
5446,Spring 2022,MATH,8698,14,17695,Doctoral Research,Mang,Andreas,0,0,0,0,0,3,0,0,0,0.0
5454,Spring 2022,COSC,4398,3,26317,Independent Study,Yun,Changhoon,0,0,0,0,0,1,0,0,0,0.0
5458,Spring 2022,COSC,6398,103,20316,Special Problems,Cheng,Albert M K,0,0,0,0,0,0,0,0,0,0.0
5465,Spring 2022,COSC,8398,112,20170,Doctoral Research,Huang,Shou-Hsuan Stephen,0,0,0,0,0,1,0,0,0,0.0
5471,Spring 2022,MATH,8999,3,15492,Doctoral Dissertation,Bodmann,Bernhard G,1,0,0,0,0,0,0,0,0,4.0
5482,Spring 2022,COSC,2306,1,19967,Data Programming,Shah,Shishir,25,11,6,2,8,0,0,0,16,2.783
5503,Spring 2022,COSC,8998,128,20248,Doctoral Research,Tsekos,Nikolaos V,0,0,0,0,0,3,0,0,0,0.0
5531,Spring 2022,COSC,8399,128,20279,Doctoral Dissertation,Tsekos,Nikolaos V,1,0,0,0,0,0,0,0,0,4.0
5557,Spring 2022,MATH,2414,21,18585,Calculus II,Xhabli,Blerina,112,40,42,25,32,0,0,0,33,2.68
5561,Spring 2022,MATH,3321,2,17931,Engineering Mathematics,West,James David,12,9,20,15,26,0,0,0,14,1.569
5565,Spring 2022,MATH,4315,1,24531,Graph Theory with Applications,Josic,Kresimir,1,9,6,2,2,0,0,0,2,2.217
5616,Spring 2022,COSC,7399,106,27947,Masters Thesis,Deng,Zhigang,1,0,0,0,0,0,0,0,0,4.0
5673,Spring 2022,MATH,6308,2,17020,Advanced Linear Algebra I,Ji,Shanyu,4,3,1,0,0,0,0,0,0,3.293
5694,Spring 2022,COSC,8398,107,20165,Doctoral Research,Eick,Christoph F,0,0,0,0,0,2,0,0,0,0.0
5697,Spring 2022,MATH,8698,21,19063,Doctoral Research,Heier,Gordon,0,0,0,0,0,2,0,0,0,0.0
5721,Spring 2022,COSC,4353,2,17390,Software Design,Singh,Raj Kumar,66,23,4,1,1,0,0,0,0,3.59
5732,Spring 2022,MATH,4364,1,17332,Intro to Numerical Analysis,Pan,Tsorng-Whay,37,10,9,0,0,0,0,0,1,3.429
5768,Spring 2022,MATH,6398,6,14886,Special Problems,Azencott,Robert Guy,0,0,0,0,0,1,0,0,0,0.0
5774,Spring 2022,COSC,6110,1,14372,Graduate Colloquium,Leiss,Ernst L,0,0,0,0,0,2,0,0,0,0.0
5780,Spring 2022,COSC,8698,125,20214,Doctoral Research,Shi,Weidong,0,0,0,0,0,1,0,0,0,0.0
5797,Spring 2022,COSC,3340,1,14369,Intro. to Automata and Comp.,Leiss,Ernst L,11,57,66,25,7,0,0,0,16,2.241
5838,Spring 2022,COSC,8399,127,20278,Doctoral Dissertation,Subhlok,Jaspal,2,0,0,0,0,3,0,0,0,1.6
5853,Spring 2022,COSC,8998,114,20234,Doctoral Research,Kakadiaris,Ioannis A.,0,0,0,0,0,1,0,0,0,0.0
5878,Spring 2022,COSC,4368,1,16558,Artificial Intelligence,Eick,Christoph F,16,33,14,3,1,0,0,0,14,2.861
5910,Spring 2022,COSC,8698,115,20204,Doctoral Research,Laszka,Aron,0,0,0,0,0,2,0,0,0,0.0
5990,Spring 2022,COSC,6399,114,27980,Masters Thesis,Kakadiaris,Ioannis A.,1,0,0,0,0,0,0,0,0,4.0
6004,Spring 2022,COSC,8998,107,20227,Doctoral Research,Eick,Christoph F,0,0,0,0,0,3,0,0,0,0.0
6021,Spring 2022,MATH,3325,5,24466,Transition to Advanced Math,Vershynina,Anna,7,8,2,2,2,0,0,0,4,2.683
6040,Spring 2022,MATH,5385,1,20868,Statistics,Jun,Mikyoung,8,5,1,0,0,0,0,0,0,3.406
6057,Spring 2022,MATH,6321,1,14878,Func Real Variable,Nicol,Matthew J.,6,2,0,0,0,0,0,0,0,3.75
6074,Spring 2022,COSC,8398,109,20167,Doctoral Research,Gnawali,Omprakash D,0,0,0,0,0,1,0,0,0,0.0
6077,Spring 2022,MATH,8698,13,17694,Doctoral Research,Mamonov,Alexander V,0,0,0,0,0,1,0,0,0,0.0
6093,Spring 2022,MATH,1324,4,14843,Finite Math with Applications,Sosa,Moses,55,46,29,17,27,0,0,0,25,2.434
6131,Spring 2022,MATH,4365,1,16701,Numerical Methods for Diff Equ,He,Jiwen,13,5,1,0,1,0,0,0,0,3.45
6135,Spring 2022,MATH,3349,1,19998,Inferential Statistics,Poliak,Cathy Dawn,3,2,2,2,1,0,0,0,2,2.499
6144,Spring 2022,MATH,2414,51,20879,Calculus II,Climenhaga,Vaughn,2,3,2,2,1,0,0,0,2,2.3
6148,Spring 2022,MATH,6398,4,14884,Special Problems,Perepelitsa,Mikhail Antolyevic,0,0,0,0,0,1,0,0,0,0.0
6178,Spring 2022,MATH,1324,1,14842,Finite Math with Applications,Sosa,Moses,84,60,37,16,39,0,0,0,33,2.506
6186,Spring 2022,MATH,3338,1,19683,Probability,Kao,Edward P,3,6,0,0,0,0,0,0,3,3.223
6187,Spring 2022,MATH,3321,4,14857,Engineering Mathematics,Torok,Andrei S,7,3,13,12,4,0,0,0,14,1.822
6196,Spring 2022,MATH,3336,1,14859,Discrete Mathematics,Caglar,Atife,38,25,9,6,9,0,0,0,4,2.923
6236,Spring 2022,COSC,8998,129,20249,Doctoral Research,Verma,Rakesh M,0,0,0,0,0,2,0,0,0,0.0
6242,Spring 2022,COSC,8399,114,20265,Doctoral Dissertation,Kakadiaris,Ioannis A.,1,0,0,0,0,0,0,0,0,4.0
6246,Spring 2022,MATH,8398,2,14912,Doctoral Research,Azencott,Robert Guy,0,0,0,0,0,3,0,0,0,0.0
6249,Spring 2022,COSC,8998,117,20237,Doctoral Research,Merchant,Fatima Aziz,0,0,0,0,0,3,0,0,0,0.0
6258,Spring 2022,COSC,3337,1,25879,Data Science I,Rizk,Nouhad J,47,36,16,2,3,0,0,0,6,3.157
6286,Spring 2022,MATH,2312,5,19136,Precalculus,Perepelitsa,Irina,20,7,7,2,9,0,0,0,9,2.541
6330,Spring 2022,MATH,2413,1,18566,Calculus I,Constante,Beatrice,54,46,69,32,51,0,0,0,42,2.034
6434,Spring 2022,MATH,3334,1,25473,Adv Multivariable Calculus,Jaramillo,Gabriela T,2,4,2,0,3,0,0,0,4,2.092
6473,Spring 2022,MATH,3336,3,17018,Discrete Mathematics,Heier,Gordon,29,34,9,0,3,0,0,0,5,3.129
6479,Spring 2022,MATH,4322,1,20817,Data Science and Machine Learn,Poliak,Cathy Dawn,80,14,3,0,1,0,0,0,1,3.752
6488,Spring 2022,MATH,2312,8,16353,Precalculus,Almus,Melahat,18,5,6,3,12,0,0,0,10,2.288
6530,Spring 2022,MATH,8698,28,27270,Doctoral Research,Cappanera,Loic,0,0,0,0,0,2,0,0,0,0.0
6561,Spring 2022,MATH,1314,10,16351,College Algebra,Constante,Beatrice,7,2,4,5,5,0,0,0,3,1.957
6632,Spring 2022,COSC,6399,129,27061,Masters Thesis,Verma,Rakesh M,0,0,0,0,0,1,0,0,0,0.0
6641,Spring 2022,COSC,4359,1,16181,Intermediate Game Development,Yun,Changhoon,23,0,1,0,0,0,0,0,0,3.834
6662,Spring 2022,MATH,5332,1,14872,Differential Equations,Etgen,Garret J,7,4,0,0,0,0,0,0,2,3.636
6685,Spring 2022,MATH,8698,12,17592,Doctoral Research,Nicol,Matthew J.,0,0,0,0,0,1,0,0,0,0.0
6687,Spring 2022,MATH,8699,19,14945,Doctoral Dissertation,Josic,Kresimir,2,0,0,0,0,0,0,0,0,4.0
6699,Spring 2022,COSC,8998,102,20222,Doctoral Research,Chen,Guoning,0,0,0,0,0,2,0,0,0,0.0
6713,Spring 2022,MATH,1324,10,16352,Finite Math with Applications,Sosa,Moses,20,8,4,8,14,0,0,0,9,2.186
6742,Spring 2022,COSC,6359,1,16182,Intermediate Game Development,Yun,Changhoon,6,1,0,0,0,0,0,0,0,3.904
6772,Spring 2022,COSC,8399,129,20280,Doctoral Dissertation,Verma,Rakesh M,0,0,0,0,0,0,0,0,0,0.0
6779,Spring 2022,COSC,1336,1,17846,Computer Science & Program,Huang,Shou-Hsuan Stephen,15,15,6,5,10,0,0,0,49,2.34
6811,Spring 2022,MATH,8698,15,18475,Doctoral Research,Labate,Demetrio,0,0,0,0,0,5,0,0,0,0.0
6837,Spring 2022,MATH,4332,1,14862,Intro to Real Analysis II,Vershynina,Anna,5,3,2,0,1,0,0,0,2,2.94
6853,Spring 2022,MATH,8398,20,17306,Doctoral Research,Mamonov,Alexander V,0,0,0,0,0,1,0,0,0,0.0
6915,Spring 2022,MATH,6361,1,24535,Applicable Analysis,Bodmann,Bernhard G,6,4,3,0,0,0,0,0,0,3.231
6923,Spring 2022,MATH,8399,13,14924,Doctoral Dissertation,Olshanskiy,Maxim Alexandrovich,1,0,0,0,0,1,0,0,0,2.0
6943,Spring 2022,MATH,8398,4,15494,Doctoral Research,Bodmann,Bernhard G,0,0,0,0,0,1,0,0,0,0.0
6987,Spring 2022,COSC,4399,3,27664,Senior Honors Thesis,Eick,Christoph F,1,0,0,0,0,0,0,0,0,3.67
6995,Spring 2022,COSC,4396,2,19655,Senior Research Project,Ordonez,Carlos,1,0,0,0,0,0,0,0,0,4.0
7033,Spring 2022,COSC,4353,1,16935,Software Design,Singh,Raj Kumar,91,6,0,0,0,0,0,0,1,3.894
7036,Spring 2022,COSC,2436,1,19968,Programming and Data Structure,Mukherjee,Arjun,40,4,9,1,7,0,0,0,24,3.082
7049,Spring 2022,COSC,4337,1,19972,Data Science II,Vilalta,Ricardo,25,13,2,0,0,0,0,0,3,3.509
7110,Spring 2022,MATH,8398,9,16686,Doctoral Research,Haynes,Alan K,0,0,0,0,0,1,0,0,0,0.0
